PeopleSoft #,Reference #,"Reference #
(less special characters)",Item Description,Mfg Name,Area,Lev 1,Cart Name,Shelf,UNSPSC Desc (Commodity Code),Status Current,Comments
000000000001120890,A60902BH,A60902BH,BG SPECMN TRANS PE ZIP CLSR ECONO-ZIP BIOHAZ 6X9IN CLR 50/PK,MEDLINE INDUSTRIES INC,CAB1,AA02,CAB1 AA02,_A05,05 Specimen collection or transport bags,Active,Located in yellow cabinet IN STERRAD ROOM
000000000001004923,A1201502BH,A1201502BH,BG TRANS ECONO ZIP SPECMN 3 WALL BIOHAZ 12X15IN,MEDLINE INDUSTRIES INC,CAB1,AA02,CAB1 AA02,_A10,05 Specimen collection or transport bags,Active,Located in yellow cabinet IN STERRAD ROOM
000000000000520457,MA60AC.060,MA60AC060,LENS IOL ACR ASYM ANT CHMB MLT PC 10 DEG PLUS 6D 6MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_A05,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000457827,MA60AC.065,MA60AC065,LENS IOL ACR ASYM ANT CHMB MLT PC 10 DG PLUS 6.5D 6MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_A10,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000433851,MA60AC.075,MA60AC075,LENS IOL ACR ASYM ANT CHMB MLT PC 10 DG PLUS 7.5D 6MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_A20,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000544245,MA60AC.080,MA60AC080,LENS IOL ACR ASYM ANT CHMB MLT PC 10 DEG PLUS 8D 6MM,ALCON INC,CONS,AA01,CONS AA01,_A25,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000437717,MA60AC.085,MA60AC085,LENS IOL ACR ASYM ANT CHMB MLT PC 10 DG PLUS 8.5D 6MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_A30,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000530330,MA60AC.090,MA60AC090,LENS IOL ACR ASYM ANT CHMB MLT PC 10 DEG PLUS 9D 6MM,ALCON INC,CONS,AA01,CONS AA01,_A35,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000495511,MA60AC.095,MA60AC095,LENS IOL ACR ASYM ANT CHMB MLT PC 10 DG PLUS 9.5D 6MM,ALCON LABORATORIES INC,CONS,AA01,CONS AA01,_A40,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000448757,MA60AC.100,MA60AC100,LENS IOL ACR ASYM ANT CHMB MLT PC 10 DEG PLUS 10D 6MM,ALCON INC,CONS,AA01,CONS AA01,_A45,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000454786,MA60AC.105,MA60AC105,LENS IOL ACR ANT CHMB MLTI 10 DEG PLUS 10.5D 6MM OPTIC 13MM,ALCON INC,CONS,AA01,CONS AA01,_A50,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
000000000000526134,MA60AC.110,MA60AC110,LENS IOL ACR ASYM ANT CHMB MLT PC 10 DEG PLUS 11D 6MM,ALCON INC,CONS,AA01,CONS AA01,_A55,24 Intraocular lens IOL,Active,Consignment Lens - Call Supply Team 
